
168,AC_nl_135,AC_nl_135,"correlation,nonlinearautocorr",AC_nl_135
169,AC_nl_246,AC_nl_246,"correlation,nonlinearautocorr",AC_nl_246
170,AC_nl_1357,AC_nl_1357,"correlation,nonlinearautocorr",AC_nl_1357
171,AC_nl_2468,AC_nl_2468,"correlation,nonlinearautocorr",AC_nl_2468
172,AC_nl_124,AC_nl_124,"correlation,nonlinearautocorr",AC_nl_124
173,AC_nl_134,AC_nl_134,"correlation,nonlinearautocorr",AC_nl_134
174,AC_nl_14,AC_nl_14,"correlation,nonlinearautocorr",AC_nl_14
175,AC_nl_11,AC_nl_11,"correlation,nonlinearautocorr",AC_nl_11
176,AC_nl_22,AC_nl_22,"correlation,nonlinearautocorr",AC_nl_22
177,AC_nl_33,AC_nl_33,"correlation,nonlinearautocorr",AC_nl_33
178,AC_nl_44,AC_nl_44,"correlation,nonlinearautocorr",AC_nl_44
179,AC_nl_55,AC_nl_55,"correlation,nonlinearautocorr",AC_nl_55
180,AC_nl_66,AC_nl_66,"correlation,nonlinearautocorr",AC_nl_66
181,AC_nl_011,AC_nl_011,"correlation,nonlinearautocorr",AC_nl_011
182,AC_nl_022,AC_nl_022,"correlation,nonlinearautocorr",AC_nl_022
183,AC_nl_033,AC_nl_033,"correlation,nonlinearautocorr",AC_nl_033
184,AC_nl_044,AC_nl_044,"correlation,nonlinearautocorr",AC_nl_044
185,AC_nl_055,AC_nl_055,"correlation,nonlinearautocorr",AC_nl_055
186,AC_nl_066,AC_nl_066,"correlation,nonlinearautocorr",AC_nl_066
187,AC_nl_001,AC_nl_001,"correlation,nonlinearautocorr",AC_nl_001
188,AC_nl_002,AC_nl_002,"correlation,nonlinearautocorr",AC_nl_002
189,AC_nl_003,AC_nl_003,"correlation,nonlinearautocorr",AC_nl_003
190,AC_nl_004,AC_nl_004,"correlation,nonlinearautocorr",AC_nl_004
191,AC_nl_005,AC_nl_005,"correlation,nonlinearautocorr",AC_nl_005
192,AC_nl_006,AC_nl_006,"correlation,nonlinearautocorr",AC_nl_006
193,AC_nl_012,AC_nl_012,"correlation,nonlinearautocorr",AC_nl_012
194,AC_nl_013,AC_nl_013,"correlation,nonlinearautocorr",AC_nl_013
195,AC_nl_023,AC_nl_023,"correlation,nonlinearautocorr",AC_nl_023
196,AC_nl_014,AC_nl_014,"correlation,nonlinearautocorr",AC_nl_014
197,AC_nl_024,AC_nl_024,"correlation,nonlinearautocorr",AC_nl_024
198,AC_nl_034,AC_nl_034,"correlation,nonlinearautocorr",AC_nl_034
199,AC_nl_015,AC_nl_015,"correlation,nonlinearautocorr",AC_nl_015
200,AC_nl_025,AC_nl_025,"correlation,nonlinearautocorr",AC_nl_025
201,AC_nl_035,AC_nl_035,"correlation,nonlinearautocorr",AC_nl_035
202,AC_nl_045,AC_nl_045,"correlation,nonlinearautocorr",AC_nl_045
203,AC_nl_016,AC_nl_016,"correlation,nonlinearautocorr",AC_nl_016
204,AC_nl_026,AC_nl_026,"correlation,nonlinearautocorr",AC_nl_026
205,AC_nl_036,AC_nl_036,"correlation,nonlinearautocorr",AC_nl_036
206,AC_nl_046,AC_nl_046,"correlation,nonlinearautocorr",AC_nl_046
207,AC_nl_056,AC_nl_056,"correlation,nonlinearautocorr",AC_nl_056
208,AC_nl_112,AC_nl_112,"correlation,nonlinearautocorr",AC_nl_112
209,AC_nl_113,AC_nl_113,"correlation,nonlinearautocorr",AC_nl_113
210,AC_nl_122,AC_nl_122,"correlation,nonlinearautocorr",AC_nl_122
211,AC_nl_133,AC_nl_133,"correlation,nonlinearautocorr",AC_nl_133
212,AC_nl_223,AC_nl_223,"correlation,nonlinearautocorr",AC_nl_223
213,AC_nl_233,AC_nl_233,"correlation,nonlinearautocorr",AC_nl_233
214,RM_ami_0,CO_RM_AMInformation_0,"information,correlation,AMI",CO_RM_AMInformation_0
215,RM_ami_1,CO_RM_AMInformation_1,"information,correlation,AMI",CO_RM_AMInformation_1
216,RM_ami_2,CO_RM_AMInformation_2,"information,correlation,AMI",CO_RM_AMInformation_2
217,RM_ami_3,CO_RM_AMInformation_3,"information,correlation,AMI",CO_RM_AMInformation_3
218,RM_ami_4,CO_RM_AMInformation_4,"information,correlation,AMI",CO_RM_AMInformation_4
219,RM_ami_5,CO_RM_AMInformation_5,"information,correlation,AMI",CO_RM_AMInformation_5
220,RM_ami_6,CO_RM_AMInformation_6,"information,correlation,AMI",CO_RM_AMInformation_6
221,RM_ami_7,CO_RM_AMInformation_7,"information,correlation,AMI",CO_RM_AMInformation_7
222,RM_ami_8,CO_RM_AMInformation_8,"information,correlation,AMI",CO_RM_AMInformation_8
223,RM_ami_9,CO_RM_AMInformation_9,"information,correlation,AMI",CO_RM_AMInformation_9
224,RM_ami_10,CO_RM_AMInformation_10,"information,correlation,AMI",CO_RM_AMInformation_10
225,CO_HistogramAMI_std1_2bin_ami1,CO_HistogramAMI_std1_2bin,"information,correlation,AMI",CO_HistogramAMI_std1_2bin.ami1
226,CO_HistogramAMI_std1_2bin_ami2,CO_HistogramAMI_std1_2bin,"information,correlation,AMI",CO_HistogramAMI_std1_2bin.ami2
227,CO_HistogramAMI_std1_2bin_ami3,CO_HistogramAMI_std1_2bin,"information,correlation,AMI",CO_HistogramAMI_std1_2bin.ami3
228,CO_HistogramAMI_std1_2bin_ami4,CO_HistogramAMI_std1_2bin,"information,correlation,AMI",CO_HistogramAMI_std1_2bin.ami4
229,CO_HistogramAMI_std1_2bin_ami5,CO_HistogramAMI_std1_2bin,"information,correlation,AMI",CO_HistogramAMI_std1_2bin.ami5
230,CO_HistogramAMI_std1_5bin_ami1,CO_HistogramAMI_std1_5bin,"information,correlation,AMI",CO_HistogramAMI_std1_5bin.ami1
231,CO_HistogramAMI_std1_5bin_ami2,CO_HistogramAMI_std1_5bin,"information,correlation,AMI",CO_HistogramAMI_std1_5bin.ami2
232,CO_HistogramAMI_std1_5bin_ami3,CO_HistogramAMI_std1_5bin,"information,correlation,AMI",CO_HistogramAMI_std1_5bin.ami3
233,CO_HistogramAMI_std1_5bin_ami4,CO_HistogramAMI_std1_5bin,"information,correlation,AMI",CO_HistogramAMI_std1_5bin.ami4
234,CO_HistogramAMI_std1_5bin_ami5,CO_HistogramAMI_std1_5bin,"information,correlation,AMI",CO_HistogramAMI_std1_5bin.ami5
235,CO_HistogramAMI_std1_10bin_ami1,CO_HistogramAMI_std1_10bin,"information,correlation,AMI",CO_HistogramAMI_std1_10bin.ami1
236,CO_HistogramAMI_std1_10bin_ami2,CO_HistogramAMI_std1_10bin,"information,correlation,AMI",CO_HistogramAMI_std1_10bin.ami2
237,CO_HistogramAMI_std1_10bin_ami3,CO_HistogramAMI_std1_10bin,"information,correlation,AMI",CO_HistogramAMI_std1_10bin.ami3
238,CO_HistogramAMI_std1_10bin_ami4,CO_HistogramAMI_std1_10bin,"information,correlation,AMI",CO_HistogramAMI_std1_10bin.ami4
239,CO_HistogramAMI_std1_10bin_ami5,CO_HistogramAMI_std1_10bin,"information,correlation,AMI",CO_HistogramAMI_std1_10bin.ami5
240,CO_HistogramAMI_std2_2bin_ami1,CO_HistogramAMI_std2_2bin,"information,correlation,AMI",CO_HistogramAMI_std2_2bin.ami1
241,CO_HistogramAMI_std2_2bin_ami2,CO_HistogramAMI_std2_2bin,"information,correlation,AMI",CO_HistogramAMI_std2_2bin.ami2
242,CO_HistogramAMI_std2_2bin_ami3,CO_HistogramAMI_std2_2bin,"information,correlation,AMI",CO_HistogramAMI_std2_2bin.ami3
243,CO_HistogramAMI_std2_2bin_ami4,CO_HistogramAMI_std2_2bin,"information,correlation,AMI",CO_HistogramAMI_std2_2bin.ami4
244,CO_HistogramAMI_std2_2bin_ami5,CO_HistogramAMI_std2_2bin,"information,correlation,AMI",CO_HistogramAMI_std2_2bin.ami5
245,CO_HistogramAMI_std2_5bin_ami1,CO_HistogramAMI_std2_5bin,"information,correlation,AMI",CO_HistogramAMI_std2_5bin.ami1
246,CO_HistogramAMI_std2_5bin_ami2,CO_HistogramAMI_std2_5bin,"information,correlation,AMI",CO_HistogramAMI_std2_5bin.ami2
247,CO_HistogramAMI_std2_5bin_ami3,CO_HistogramAMI_std2_5bin,"information,correlation,AMI",CO_HistogramAMI_std2_5bin.ami3
248,CO_HistogramAMI_std2_5bin_ami4,CO_HistogramAMI_std2_5bin,"information,correlation,AMI",CO_HistogramAMI_std2_5bin.ami4
249,CO_HistogramAMI_std2_5bin_ami5,CO_HistogramAMI_std2_5bin,"information,correlation,AMI",CO_HistogramAMI_std2_5bin.ami5
250,CO_HistogramAMI_std2_10bin_ami1,CO_HistogramAMI_std2_10bin,"information,correlation,AMI",CO_HistogramAMI_std2_10bin.ami1
251,CO_HistogramAMI_std2_10bin_ami2,CO_HistogramAMI_std2_10bin,"information,correlation,AMI",CO_HistogramAMI_std2_10bin.ami2
252,CO_HistogramAMI_std2_10bin_ami3,CO_HistogramAMI_std2_10bin,"information,correlation,AMI",CO_HistogramAMI_std2_10bin.ami3
253,CO_HistogramAMI_std2_10bin_ami4,CO_HistogramAMI_std2_10bin,"information,correlation,AMI",CO_HistogramAMI_std2_10bin.ami4
254,CO_HistogramAMI_std2_10bin_ami5,CO_HistogramAMI_std2_10bin,"information,correlation,AMI",CO_HistogramAMI_std2_10bin.ami5
255,CO_HistogramAMI_even_2bin_ami1,CO_HistogramAMI_even_2bin,"information,correlation,AMI",CO_HistogramAMI_even_2bin.ami1
256,CO_HistogramAMI_even_2bin_ami2,CO_HistogramAMI_even_2bin,"information,correlation,AMI",CO_HistogramAMI_even_2bin.ami2
257,CO_HistogramAMI_even_2bin_ami3,CO_HistogramAMI_even_2bin,"information,correlation,AMI",CO_HistogramAMI_even_2bin.ami3
258,CO_HistogramAMI_even_2bin_ami4,CO_HistogramAMI_even_2bin,"information,correlation,AMI",CO_HistogramAMI_even_2bin.ami4
259,CO_HistogramAMI_even_2bin_ami5,CO_HistogramAMI_even_2bin,"information,correlation,AMI",CO_HistogramAMI_even_2bin.ami5
260,CO_HistogramAMI_even_5bin_ami1,CO_HistogramAMI_even_5bin,"information,correlation,AMI",CO_HistogramAMI_even_5bin.ami1
261,CO_HistogramAMI_even_5bin_ami2,CO_HistogramAMI_even_5bin,"information,correlation,AMI",CO_HistogramAMI_even_5bin.ami2
262,CO_HistogramAMI_even_5bin_ami3,CO_HistogramAMI_even_5bin,"information,correlation,AMI",CO_HistogramAMI_even_5bin.ami3
263,CO_HistogramAMI_even_5bin_ami4,CO_HistogramAMI_even_5bin,"information,correlation,AMI",CO_HistogramAMI_even_5bin.ami4
